更新时间: 2026-04-18 22:38:32（北京时间）

更新时间,#genre#
2026-04-18 22:38:32,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://221.232.40.13:8888/rtp/239.254.96.96:8550$湖北电信
CCTV1,http://171.213.155.205:9100/rtp/239.94.0.1:5140$四川电信
CCTV1,http://171.213.155.205:9100/rtp/239.94.2.34:5140$四川电信
CCTV1,http://171.213.155.205:9100/rtp/239.94.0.31:5140$四川电信
CCTV1,http://171.213.155.205:9100/rtp/239.94.2.69:5140$四川电信
CCTV2,http://221.232.40.13:8888/rtp/239.69.1.102:10250$湖北电信
CCTV2,http://171.213.155.205:9100/rtp/239.94.2.70:5140$四川电信
CCTV2,http://171.213.155.205:9100/rtp/239.94.0.2:5140$四川电信
CCTV2,http://171.213.155.205:9100/rtp/239.94.2.35:5140$四川电信
CCTV3,http://221.232.40.13:8888/rtp/239.69.1.122:10370$湖北电信
CCTV3,http://171.213.155.205:9100/rtp/239.94.0.32:5140$四川电信
CCTV3,http://171.213.155.205:9100/rtp/239.94.0.3:5140$四川电信
CCTV4,http://221.232.40.13:8888/rtp/239.69.1.138:10466$湖北电信
CCTV4,http://171.213.155.205:9100/rtp/239.94.0.4:5140$四川电信
CCTV4欧洲,http://221.232.40.13:8888/rtp/239.69.1.231:11028$湖北电信
CCTV4美洲,http://221.232.40.13:8888/rtp/239.69.1.232:11034$湖北电信
CCTV5,http://221.232.40.13:8888/rtp/239.69.1.123:10376$湖北电信
CCTV5,http://171.213.155.205:9100/rtp/239.94.0.33:5140$四川电信
CCTV5,http://171.213.155.205:9100/rtp/239.94.2.30:5140$四川电信
CCTV5,http://171.213.155.205:9100/rtp/239.94.0.5:5140$四川电信
CCTV5+,http://221.232.40.13:8888/rtp/239.254.96.234:9484$湖北电信
CCTV5+,http://171.213.155.205:9100/rtp/239.94.0.19:5140$四川电信
CCTV5+,http://171.213.155.205:9100/rtp/239.94.0.23:5140$四川电信
CCTV6,http://221.232.40.13:8888/rtp/239.69.1.124:10382$湖北电信
CCTV6,http://171.213.155.205:9100/rtp/239.94.0.6:5140$四川电信
CCTV6,http://171.213.155.205:9100/rtp/239.94.2.33:5140$四川电信
CCTV6,http://171.213.155.205:9100/rtp/239.94.0.34:5140$四川电信
CCTV7,http://221.232.40.13:8888/rtp/239.69.1.103:10256$湖北电信
CCTV7,http://171.213.155.205:9100/rtp/239.94.0.7:5140$四川电信
CCTV8,http://221.232.40.13:8888/rtp/239.69.1.125:10388$湖北电信
CCTV8,http://171.213.155.205:9100/rtp/239.94.0.8:5140$四川电信
CCTV8,http://171.213.155.205:9100/rtp/239.94.0.35:5140$四川电信
CCTV8,http://171.213.155.205:9100/rtp/239.94.2.29:5140$四川电信
CCTV9,http://221.232.40.13:8888/rtp/239.69.1.104:10262$湖北电信
CCTV9,http://171.213.155.205:9100/rtp/239.94.2.32:5140$四川电信
CCTV9,http://171.213.155.205:9100/rtp/239.94.0.9:5140$四川电信
CCTV10,http://221.232.40.13:8888/rtp/239.69.1.105:10268$湖北电信
CCTV10,http://171.213.155.205:9100/rtp/239.94.0.10:5140$四川电信
CCTV10,http://171.213.155.205:9100/rtp/239.94.2.31:5140$四川电信
CCTV11,http://221.232.40.13:8888/rtp/239.69.1.154:10560$湖北电信
CCTV11,http://171.213.155.205:9100/rtp/239.94.0.11:5140$四川电信
CCTV11,http://171.213.155.205:9100/rtp/239.94.0.36:5140$四川电信
CCTV12,http://221.232.40.13:8888/rtp/239.69.1.106:10274$湖北电信
CCTV12,http://171.213.155.205:9100/rtp/239.94.0.12:5140$四川电信
CCTV13,http://221.232.40.13:8888/rtp/239.254.96.161:9040$湖北电信
CCTV13,http://171.213.155.205:9100/rtp/239.94.0.13:5140$四川电信
CCTV13,http://171.213.155.205:9100/rtp/239.94.0.37:5140$四川电信
CCTV14,http://221.232.40.13:8888/rtp/239.69.1.107:10280$湖北电信
CCTV14,http://171.213.155.205:9100/rtp/239.94.0.14:5140$四川电信
CCTV15,http://221.232.40.13:8888/rtp/239.69.1.155:10566$湖北电信
CCTV15,http://171.213.155.205:9100/rtp/239.94.0.15:5140$四川电信
CCTV15,http://171.213.155.205:9100/rtp/239.94.0.38:5140$四川电信
CCTV16,http://221.232.40.13:8888/rtp/239.69.1.247:11124$湖北电信
CCTV17,http://221.232.40.13:8888/rtp/239.69.1.152:10548$湖北电信
CCTV17,http://171.213.155.205:9100/rtp/239.94.0.39:5140$四川电信
CCTV17,http://171.213.155.205:9100/rtp/239.94.0.17:5140$四川电信
